Game URL,Quarter,Time,Left Event,Right Event
https://kbl.or.kr/match/record/S45G01N1/1,,,,
Q1,1쿼터 시작,,,
Q1,0:00,,레이션 해먼즈 교체(OUT),
Q1,0:00,,문정현 교체(OUT),
Q1,0:00,,최창진 교체(OUT),
Q1,0:00,,이윤기 교체(OUT),
Q1,0:00,,하윤기 교체(OUT),
Q1,0:00,이승현 교체(OUT),,
Q1,0:00,이근휘 교체(OUT),,
Q1,0:00,디온테 버튼 교체(OUT),,
Q1,0:00,허웅 교체(OUT),,
Q1,0:00,이호현 교체(OUT),,
Q1,게임종료,,,
Q1,0:00,이승현 2점슛성공,,
Q1,0:04,이근휘 교체(IN),,
Q1,0:04,정창영 교체(OUT),,
Q1,0:04,,최창진 교체(IN),
Q1,0:04,,이윤기 교체(IN),
Q1,0:04,,허훈 교체(OUT),
Q1,0:04,,한희원 교체(OUT),
Q1,0:04,작전시간,,
Q1,0:04,,팀턴오버,
Q1,0:04,,문정현 공격리바운드,
Q1,0:05,,레이션 해먼즈 2점슛시도,
Q1,0:18,,한희원 교체(IN),
Q1,0:18,,이윤기 교체(OUT),
Q1,0:18,,허훈 교체(IN),
Q1,0:18,,최창진 교체(OUT),
Q1,0:18,,팀리바운드,
Q1,0:18,디온테 버튼 블록,,
Q1,0:18,,레이션 해먼즈 2점슛시도,
Q1,0:40,디온테 버튼 자유투성공,,
Q1,0:40,디온테 버튼 자유투성공,,
Q1,0:40,,최창진 교체(IN),
Q1,0:40,,허훈 교체(OUT),
Q1,0:40,,허훈 파울자유투,
Q1,0:42,디온테 버튼 수비리바운드,,
Q1,0:44,,이윤기 2점슛시도,
Q1,0:49,팀파울,,
Q1,0:49,이승현 파울,,
Q1,0:49,,하윤기 공격리바운드,
Q1,0:49,,레이션 해먼즈 2점슛시도,
Q1,1:06,디온테 버튼 턴오버,,
Q1,1:15,디온테 버튼 수비리바운드,,
Q1,1:17,,문정현 2점슛시도,
Q1,1:19,,문정현 공격리바운드,
Q1,1:20,,문정현 2점슛시도,
Q1,1:25,,하윤기 수비리바운드,
Q1,1:27,디온테 버튼 2점슛시도,,
Q1,1:41,,이윤기 교체(IN),
Q1,1:41,,이현석 교체(OUT),
Q1,1:41,,허훈 턴오버,
Q1,1:56,,문정현 수비리바운드,
Q1,1:58,이호현 2점슛시도,,
Q1,2:19,,팀속공,
Q1,2:22,,문정현 어시스트,
Q1,2:22,,레이션 해먼즈 2점슛성공,
Q1,2:28,,하윤기 수비리바운드,
Q1,2:30,허웅 3점슛시도,,
Q1,2:37,디온테 버튼 스틸,,
Q1,2:39,,이현석 턴오버,
Q1,3:01,정창영 교체(IN),,
Q1,3:01,이호현 교체(IN),,
Q1,3:01,전준범 교체(OUT),,
Q1,3:01,김동현 교체(OUT),,
Q1,3:01,,작전시간,
Q1,3:01,팀속공,,
Q1,3:01,디온테 버튼 어시스트,,
Q1,3:01,허웅 2점슛성공,,
Q1,3:03,디온테 버튼 스틸,,
Q1,3:05,,허훈 턴오버,
Q1,3:11,,이현석 수비리바운드,
Q1,3:13,전준범 2점슛시도,,
Q1,3:16,전준범 스틸,,
Q1,3:18,,허훈 턴오버,
Q1,3:39,허웅 2점슛성공,,
Q1,3:57,,허훈 2점슛성공,
Q1,4:06,,이현석 수비리바운드,
Q1,4:09,이승현 2점슛시도,,
Q1,4:19,이승현 수비리바운드,,
Q1,4:22,,하윤기 2점슛시도,
Q1,4:35,,레이션 해먼즈 수비리바운드,
Q1,4:37,김동현 3점슛시도,,
Q1,4:59,이승현 수비리바운드,,
Q1,5:01,,레이션 해먼즈 3점슛시도,
Q1,5:14,팀파울,,
Q1,5:14,이승현 파울,,
Q1,5:15,,문정현 수비리바운드,
Q1,5:17,,하윤기 블록,
Q1,5:19,디온테 버튼 2점슛시도,,
Q1,5:33,디온테 버튼 굿디펜스,,
